name,country,sector,total_score,maturity_level,social_media,website,visual_content,discoverability,digital_sales,platform_integration
Musée Théodore Monod (IFAN),Senegal,Cultural heritage sites/museums,31.0,Intermediate,7.0,9.0,2.0,6.0,5.0,2.0
Musée des Civilisations Noires,Senegal,Cultural heritage sites/museums,32.0,Intermediate,7.0,9.0,2.0,6.0,5.0,3.0
La Maison des Esclaves (House of Slaves),Senegal,Cultural heritage sites/museums,17.0,Emerging,2.0,6.0,1.0,4.0,2.0,2.0
Île de Gorée (Gorée Island),Senegal,Cultural heritage sites/museums,22.0,Emerging,4.0,6.0,1.0,5.0,3.0,3.0
Monument de la Renaissance Africaine,Senegal,Cultural heritage sites/museums,14.0,Emerging,2.0,6.0,0.0,2.0,3.0,1.0
Village des Arts de Dakar,Senegal,Crafts and artisan products,32.0,Intermediate,9.0,9.0,3.0,6.0,2.0,3.0
Village artisanal de Soumbédioune,Senegal,Crafts and artisan products,7.0,Absent/Basic,3.0,0.0,1.0,2.0,0.0,1.0
Aïssa Dione Tissus,Senegal,Crafts and artisan products,18.0,Emerging,5.0,8.0,1.0,1.0,2.0,1.0
Manufacture Sénégalaise des Arts Décoratifs (Thiès),Senegal,Crafts and artisan products,8.0,Absent/Basic,3.0,0.0,1.0,2.0,0.0,2.0
Le Sandaga,Senegal,Crafts and artisan products,14.0,Emerging,5.0,4.0,1.0,1.0,2.0,1.0
Festival international de Jazz de Saint-Louis,Senegal,Festivals and cultural events,25.0,Intermediate,7.0,9.0,3.0,1.0,3.0,2.0
Dak’Art – Dakar Biennale,Senegal,Festivals and cultural events,19.0,Emerging,5.0,9.0,1.0,1.0,2.0,1.0
Festival de Gorée,Senegal,Festivals and cultural events,11.0,Absent/Basic,5.0,2.0,1.0,1.0,1.0,1.0
Le Fanal (Carnaval de Saint-Louis),Senegal,Festivals and cultural events,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Festival Abéné (Casamance),Senegal,Festivals and cultural events,0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
Galerie Cécile Fakhoury (Dakar),Senegal,Performing and visual arts,25.0,Intermediate,6.0,9.0,3.0,1.0,4.0,2.0
Galerie Selebe Yoon,Senegal,Performing and visual arts,25.0,Intermediate,7.0,9.0,2.0,1.0,5.0,1.0
RAW Material Company,Senegal,Performing and visual arts,22.0,Emerging,7.0,8.0,2.0,1.0,3.0,1.0
Théâtre national Daniel Sorano,Senegal,Performing and visual arts,12.0,Emerging,2.0,5.0,1.0,1.0,3.0,0.0
Ballet National du Sénégal (La Linguère),Senegal,Performing and visual arts,0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
Youssou N’Dour / Jololi Music Group,Senegal,"Music (artists, production, venues, education)",24.0,Intermediate,9.0,9.0,1.0,1.0,2.0,2.0
Baaba Maal,Senegal,"Music (artists, production, venues, education)",6.0,Absent/Basic,5.0,0.0,1.0,0.0,0.0,0.0
Orchestra Baobab,Senegal,"Music (artists, production, venues, education)",25.0,Intermediate,7.0,9.0,1.0,2.0,4.0,2.0
Dakar Music Expo,Senegal,"Music (artists, production, venues, education)",6.0,Absent/Basic,6.0,0.0,0.0,0.0,0.0,0.0
Studio Sankara / Studio 44,Senegal,"Music (artists, production, venues, education)",26.0,Intermediate,8.0,9.0,2.0,1.0,4.0,2.0
Adama Paris (Adama Amanda Ndiaye),Senegal,Fashion & Design,26.0,Intermediate,7.0,9.0,3.0,0.0,5.0,2.0
Dakar Fashion Week,Senegal,Fashion & Design,23.0,Emerging,7.0,9.0,3.0,1.0,1.0,2.0
Selly Raby Kane,Senegal,Fashion & Design,26.0,Intermediate,6.0,9.0,3.0,1.0,5.0,2.0
Oumou Sy,Senegal,Fashion & Design,22.0,Emerging,6.0,8.0,2.0,1.0,3.0,2.0
Simone et Élise,Senegal,Fashion & Design,18.0,Emerging,6.0,6.0,2.0,0.0,3.0,1.0
RTS – Radio Télévision Sénégalaise,Senegal,"Audiovisual (film, photography, TV, videography)",21.0,Emerging,7.0,7.0,3.0,1.0,1.0,2.0
Seneweb,Senegal,"Audiovisual (film, photography, TV, videography)",21.0,Emerging,7.0,6.0,2.0,1.0,3.0,2.0
Walf TV,Senegal,"Audiovisual (film, photography, TV, videography)",0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
Festival de cinéma Les Téranga,Senegal,"Audiovisual (film, photography, TV, videography)",8.0,Absent/Basic,6.0,0.0,1.0,0.0,0.0,1.0
Association Cinéma 221,Senegal,"Audiovisual (film, photography, TV, videography)",0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
Alliance Media Senegal,Senegal,Marketing/advertising/publishing,15.0,Emerging,4.0,7.0,1.0,0.0,2.0,1.0
Publicis Groupe Africa (Senegal branch),Senegal,Marketing/advertising/publishing,11.0,Absent/Basic,0.0,8.0,1.0,0.0,2.0,0.0
Jeune Afrique (magazine),Senegal,Marketing/advertising/publishing,22.0,Emerging,7.0,9.0,1.0,1.0,3.0,1.0
APS – Agence Sénégalaise de Presse,Senegal,Marketing/advertising/publishing,22.0,Emerging,6.0,8.0,3.0,1.0,3.0,1.0
Sud Ouest Communication (Sud Quotidien),Senegal,Marketing/advertising/publishing,22.0,Emerging,7.0,9.0,1.0,1.0,3.0,1.0
Museu Etnográfico da Praia,Cape Verde,Cultural heritage sites/museums,9.0,Absent/Basic,3.0,0.0,1.0,3.0,0.0,2.0
Sala-Museu Amílcar Cabral,Cape Verde,Cultural heritage sites/museums,6.0,Absent/Basic,3.0,0.0,0.0,2.0,0.0,1.0
Museu do Mar (Mindelo),Cape Verde,Cultural heritage sites/museums,26.0,Intermediate,4.0,9.0,2.0,5.0,3.0,3.0
Museu da Tabanca (Chã de Tanque),Cape Verde,Cultural heritage sites/museums,30.0,Intermediate,5.0,9.0,2.0,6.0,4.0,4.0
Fortaleza Real de São Filipe (Cidade Velha),Cape Verde,Cultural heritage sites/museums,24.0,Intermediate,3.0,9.0,2.0,5.0,3.0,2.0
Djunta Mo Art (Sal),Cape Verde,Crafts and artisan products,15.0,Emerging,9.0,0.0,1.0,2.0,0.0,3.0
Art D’Cretcheu (Mindelo),Cape Verde,Crafts and artisan products,27.0,Intermediate,7.0,6.0,2.0,5.0,4.0,3.0
Capvertdesign+Artesanato (Mindelo),Cape Verde,Crafts and artisan products,16.0,Emerging,6.0,2.0,1.0,4.0,1.0,2.0
"CNAD – Centro Nacional de Arte, Artesanato e Design (Mindelo)",Cape Verde,Crafts and artisan products,22.0,Emerging,6.0,9.0,3.0,1.0,2.0,1.0
Jóias & Beleza (Praia),Cape Verde,Crafts and artisan products,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Baía das Gatas Music Festival (São Vicente),Cape Verde,Festivals and cultural events,5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Kriol Jazz Festival (Praia),Cape Verde,Festivals and cultural events,23.0,Emerging,6.0,9.0,2.0,1.0,4.0,1.0
Atlantic Music Expo (Praia),Cape Verde,Festivals and cultural events,24.0,Intermediate,7.0,9.0,2.0,2.0,2.0,2.0
São João Festival (multiple islands),Cape Verde,Festivals and cultural events,13.0,Emerging,0.0,8.0,1.0,1.0,3.0,0.0
Carnival (esp. Mindelo),Cape Verde,Festivals and cultural events,20.0,Emerging,6.0,9.0,1.0,1.0,2.0,1.0
Centro Cultural do Mindelo,Cape Verde,Performing and visual arts,12.0,Emerging,7.0,0.0,1.0,3.0,0.0,1.0
