Stakeholder Name,Sector,Region,Social Media Business (0-18),Website Presence (0-12),Visual Content Quality (0-15),Online Discoverability (0-12),Digital Sales/Booking (0-8),Platform Integration (0-5),Digital Comfort & Skills (0-8),Content Strategy (0-8),Platform Usage Breadth (0-7),Investment Capacity (0-4),Challenge Severity (0-3),EXTERNAL TOTAL (0-70),SURVEY TOTAL (0-30),COMBINED SCORE (0-100),DIGITAL MATURITY LEVEL,SURVEY-EXTERNAL CORRELATION,SECTOR BONUS POINTS (0-7),Contact Info,Assessment Date,Notes,Follow-up Required,Social Media Justification,Website Functionality,Visual Content Quality,Online Discoverability,Digital Sales/Booking,Platform Integration,Website,Facebook,Instagram,Tripadvisor,YouTube
Wassu Stone Circles & Museum,Cultural heritage sites/museums,Central River Region,0,3,7,9,0,2,,,,,,21,,21,Emerging,,,,9/11/2025,"UNESCO World Heritage: Stone Circles of Senegambia
 – includes Wassu.

NCAC site: Lists Wassu Stone Circles & Museum with entry fees (D100 foreigners).

Wikipedia: Senegambian stone circles article (mentions Wassu as most visited).

TripAdvisor: “Stone Circles of Senegambia” reviews (~3.9★).

Wikimedia/Blogs: Photos of Wassu circles and museum signage.",,No official accounts; only indirect mentions via NCAC/UNESCO or traveler posts.,"Covered by UNESCO World Heritage and NCAC’s site (basic info, entry fees); no dedicated site.","Good quality images of stone circles and signage available on Wikimedia, blogs, and TripAdvisor; no curated gallery.","Listed on UNESCO, Wikipedia, TripAdvisor (~3.9★ reviews), AccessGambia; appears in cultural tour itineraries.",Tickets only on-site; tours covering Wassu can be booked online but not via the site itself.,Integrated into UNESCO heritage cluster and NCAC; cross-referenced on travel blogs/TripAdvisor.,,,,https://www.tripadvisor.com/Attraction_Review-g15035681-d1537882-Reviews-Stone_Circles_of_Senegambia-Wassu_Central_River_Division.html,
Brikama Woodcarvers Market,Crafts and artisan products,West Coast Region,0,0,4,8,0,2,,,,,,14,,14,Absent,,,,9/11/2025,"TripAdvisor: Brikama Craft Market / Woodcarvers Market
 with 20+ reviews.

Google Maps: Brikama Craft Market with reviews and photos of woodcarvings.

AccessGambia: Cultural directory entry for Brikama Craft Market highlighting woodcarvers.",,No official FB/IG accounts; presence only through traveler content and cultural directories.,No dedicated website.,"Numerous visitor photos on TripAdvisor and Google Maps show woodcarvings, stalls, and artisans at work.","Well-listed on TripAdvisor, Google Maps, and travel blogs; described in AccessGambia cultural directory.",No e-commerce or booking.,"Presence across TripAdvisor, Google Maps, and directories, but unmanaged.",,,,https://www.tripadvisor.com/Attraction_Review-g1507075-d1488262-Reviews-Brikama_Craft_Market-Brikama_West_Coast_Division.html,
Kunta Kinteh Island & Museum (James Island & Albreda Museum / Slavery  Museum),Cultural heritage sites/museums,North Bank Region,3,4,9,11,2,3,,,,,,32,,32,Emerging,,,,9/11/2025,No site-run accounts; visibility through NCAC/Ministry FB posts and Roots Festival content; scattered traveler videos/blogs.,,,No dedicated site; covered on UNESCO World Heritage page and NCAC’s site with entry fees/basic info.,"Strong visuals of ruined fort, cannons, museum displays, and boat trips; quality varies (UNESCO/professional vs traveler photos).","Excellent: UNESCO page, Wikipedia, TripAdvisor, travel blogs, and Roots tour listings rank prominently.","Tickets only on-site; tours including the island/museum can be booked online via operators (Viator, Trip.com).","Integrated across UNESCO, NCAC, TripAdvisor, and tour operator sites; no direct cross-linking by site managers.",,,,https://www.tripadvisor.com/Attraction_Review-g293794-d17380712-Reviews-Kunta_Kinteh_Island-Gambia.html,
Banjul Craft Market (Albert Market Craft Section),Crafts and artisan products,Greater Banjul Area,0,0,4,8,0,2,,,,,,14,,14,Absent,,,,9/11/2025,"TripAdvisor: Albert Market
 (craft section covered in reviews/photos).

Google Maps: Albert Market, Banjul with reviews, ratings, and visitor photos.

Travel blogs: Personal accounts of visiting Banjul craft section with photos and shopping experiences",,No official FB/IG/other accounts for the craft section itself; only mentioned in traveler posts/reviews.,No standalone website or official online presence.,"Many traveler-uploaded photos on TripAdvisor and Google Maps show stalls, products, and artisans; no curated official visuals.","Well-documented on TripAdvisor (hundreds of reviews), Google Maps (ratings/photos), and travel blogs.",No e-commerce or online booking capability.,"Presence across TripAdvisor, Google Maps, and blogs, but no coordinated management.",,,,https://www.tripadvisor.com/Attraction_Review-g293795-d1477977-Reviews-Albert_Market-Banjul_Banjul_Division.html,
Ebunjan Theatre (Performing Arts Centre),Performing and visual arts,Greater Banjul Area,7,0,6,6,3,3,,,,,,25,,25,Emerging,,,,9/11/2025,"Facebook (official): @EbunJan — posts, photos, reels, venue info. 
Facebook
+1
Facebook

Booking: Calendly booking link announced on FB for events/venue hire. 
Facebook

Instagram: Location tag “Ebunjan Theatre Gambia” (user posts; not an official account). 
Instagram

Features/Directories: My Gambia profile article; Wanderlog highlights; TripAdvisor attraction pages.",,"Own Facebook page with frequent posts, photos, and reels (e.g., July 2024 school choreography, production highlights). No active, owned IG/Twitter; IG presence is via location tag only.",No official website found; information lives on social and third-party features.,"Consistent photo/video posts on FB (rehearsals, performances, community events) + feature article imagery; mostly good smartphone/semi-pro quality.","Appears on TripAdvisor (attraction pages), Wanderlog highlights, and My Gambia feature; basic Google/Maps presence.",Calendly link used for venue/event booking inquiries via FB (inquiry form; payments offline).,FB ↔ booking (Calendly) plus visibility across TripAdvisor/Wanderlog/media features; not centrally cross-linked,FB links to dead site,https://www.facebook.com/EbunJan/,,https://www.tripadvisor.com/Attraction_Review-g293795-d26847318-Reviews-Ebunjan_Theater-Banjul_Banjul_Division.html,
Ebunjan Theatre Company,Performing and visual arts,Greater Banjul Area,7,0,10,8,2,3,,,,,,30,,30,Emerging,,,,9/11/2025,,,"Ebunjan Theatre maintains a basic social media presence. They have an official Facebook page (@EbunJan) providing updates on plays and events
my-gambia.com
, and an active Instagram account for the theatre. Engagement is modest (on the order of a few hundred followers), but the theatre does use these channels regularly to announce performances and cultural programs. Their social presence is focused and community-oriented, though not multi-platform beyond FB/IG.","No dedicated website. Ebunjan does not have its own official website; however, it benefits from coverage on other sites. (For example, a feature on My Gambia magazine tells the story of the theatre and provides contact details.) Generally, information about Ebunjan is available via social media and third-party articles, but not on a standalone theatre website.","High-quality visuals of productions and venue. Ebunjan Theatre is known for professional stage productions, and images of its plays and the unique dome-shaped auditorium are often of good quality. Promotional photos in media and on their pages show clear, well-lit shots of actors on stage and the facility. The theatre’s “Gift of Janet” feature in My Gambia included vibrant photographs of the venue and performances. While not a constant flow of content, when they do share visuals (including event flyers or recap photos), the quality is semi-professional and does justice to the performances.","Ebunjan Theatre has strong online discoverability for a local cultural venue. It appears on Google Maps/Google Search with location, and importantly has positive audience reviews on travel platforms. On Google, the theatre holds about a 4.8/5 rating (from several reviews) for its venue and shows. It’s also listed on TripAdvisor as an attraction in Banjul. Searching the name brings up their Facebook page, TripAdvisor listing, and articles, all on the first page. This indicates that both tourists and locals find information about the theatre easily, and its reputation is good (“amazing acting and beautiful venue,” notes one visitor).","Basic inquiry/booking only. To attend a play or rent the venue, one must typically call or visit the theatre. There is no online ticket purchase system. However, Ebunjan does provide a phone number and responds to inquiries via Facebook. In essence, reservations and event bookings are handled offline (pay at the door or by arrangement). The score reflects that interested patrons can reach out digitally (via social media or email) but cannot complete transactions online.","Ebunjan Theatre is integrated into relevant cultural and tourism platforms. It is listed on TripAdvisor with traveler reviews and basic info, indicating a presence in the international travel community. It’s also mentioned on local event calendars and has partnerships (for instance, events are sometimes in collaboration with bodies like the U.S. Embassy or local cultural organizations). While their team could do more in terms of coordinating across all possible platforms, being on Google Maps, TripAdvisor, and Facebook constitutes a good level of integration for a theatre in The Gambia.",,https://www.facebook.com/EbunJan/,,https://www.tripadvisor.com/Attraction_Review-g293795-d26847318-Reviews-Ebunjan_Theater-Banjul_Banjul_Division.html,
Abuko Nature Reserve,Cultural heritage sites/museums,West Coast Region,0,0,6,9,0,2,,,,,,17,,17,Absent,,,,9/11/2025,"Facebook: Abuko Nature Reserve page (inactive).

TripAdvisor: Abuko Nature Reserve listing — reviews, photo (3.2, 185 reviews)

Google Maps: Abuko Nature Reserve (~3.7★, 100+ reviews, visitor photos).

Wikipedia: Abuko Nature Reserve (history, gazettement).

AccessGambia: Overview of Abuko, size, and history.",,Minimal: a small FB page exists (~69 likes) but inactive; no IG/Twitter presence. Visitor posts dominate.,"No dedicated site; info scattered across government, conservation, and directories (AccessGambia, Wikipedia).","Decent visitor photos on TripAdvisor/Google (monkeys, crocodiles, trails). No official curated media.","Strong TripAdvisor presence, 100+ Google reviews, Wikipedia entry, AccessGambia guide. Easy to find.",Tickets only on-site; no online booking. Tours via third parties only.,"Present across TripAdvisor, Google Maps, and blogs, but no official cross-linking.",,,,https://www.tripadvisor.com/Attraction_Review-g293795-d318004-Reviews-Abuko_Nature_Reserve-Banjul_Banjul_Division.html,
Arch 22 Museum (National Heritage Museum at Arch 22),Cultural heritage sites/museums,Greater Banjul Area,0,3,6,8,0,2,,,,,,19,,19,Absent,,,,9/11/2025,"TripAdvisor: Arch 22 Museum
 (100+ reviews, 3.5★).

Google Maps: Arch 22 location, photos, reviews.

NCAC site: Lists Arch 22 with entry fees.

Wikipedia: Arch 22
 (monument + museum context).",,No official FB/IG presence; occasional mentions on NCAC pages and traveler posts.,Listed on NCAC site with entry fees/basic info; otherwise covered by Wikipedia and travel guides.,"Visitor-uploaded photos on TripAdvisor/Google show exhibits, building views, panoramic shots from the arch. No curated gallery.","Featured on TripAdvisor (3.5★, 100+ reviews), Google Maps (reviews/photos), Wikipedia, and blogs.",Tickets sold on-site; no e-commerce or online booking.,"Cross-referenced on TripAdvisor, NCAC, and Google Maps; not actively managed.",,,,https://www.tripadvisor.com/Attraction_Review-g293795-d600536-Reviews-Arch_22-Banjul_Banjul_Division.html,
Serrekunda (Senegambia) Craft Market,Crafts and artisan products,Greater Banjul Area,3,6,10,9,2,3,,,,,,33,,33,Emerging,,,,9/11/2025,"Official Website: Senegambia Craft Market – www.senegambiacraftmarket.com
Google Maps: Senegambia Craft Market, Serrekunda – Google listing with user reviews (accessible by searching the name on Google Maps; ~4★ rating, 40+ reviews).
TripAdvisor: Senegambia Craft Market –  (URL: https://www.tripadvisor.com/Attraction_Review-g297575-d5962209-Reviews-Senegambia_Craft_Market-Kololi_Serekunda_Banjul_Division.html).
Facebook: @SenegambiaCraftMarket – Facebook page (listed as local business on Senegambia Rd., Kololi) – ~50 followers, infrequent updates.
Instagram: @senegambiacraftmarket – Instagram profile for the market (category: Arts & Crafts Store) with very limited content (no posts so far).",,"The market has official Facebook and Instagram accounts, but activity is sparse
senegambiacraftmarket.com. The Facebook page has only ~50 likes and the Instagram account shows no posts to date. There is no evidence of regular engagement or multi-platform strategy.","An official website exists and provides background, services (craft types), and contact details. The site is professionally designed and includes an About section and a blog. However, several sections are “coming soon” or not regularly updated, and no frequent updates have been made in the last year. Basic contact forms are available for inquiries.","The digital platforms feature a variety of photos of crafts and artisans. The official website uses high-resolution images of products and “meet the makers” profiles, suggesting a semi-professional photoshoot was done. Visuals are clear and well-composed (e.g. showcasing woodcarvers, beadwork, textiles) and align with the market’s branding. There is room to improve consistency and add video content, but overall visual asset quality is solid for a local market.","The market is easily found via search – the official site and TripAdvisor listing appear on the first page of Google results. A Google Maps listing exists (approx. 4.3★ rating) with dozens of reviews. Travelers have reviewed it extensively on TripAdvisor (~214 reviews), and on Google (aggregated ~4★ from hundreds of user ratings). This indicates a positive reputation and decent search presence. However, there’s no evidence of active management of online reviews (e.g. owner responses), so full optimization is not achieved.","There is no e-commerce or online booking system for the craft market. Sales are in-person only – the website’s “Shop” section currently has no products listed. The site does provide a contact form for inquiries (and mentions you can “plan your visits”), which qualifies as a basic digital inquiry channel. There is no integration of online payments or booking for tours, aside from third-party tour sites offering visits.","The market is listed on major travel platforms like TripAdvisor and Google Maps, and mentioned on Gambia tourism sites. The TripAdvisor profile is active with many traveler reviews and photos, and the official website even links to it, showing awareness of that platform. While these listings are populated (largely by users) and provide info (hours, location)
, there isn’t evidence of a coordinated, “optimized” management across all platforms. Still, being on Google, TripAdvisor, Facebook, Instagram, and local directories constitutes a good basic integration.",https://www.senegambiacraftmarket.com/,,,https://www.tripadvisor.com/Attraction_Review-g297575-d5962209-Reviews-Senegambia_Craft_Market-Kololi_Serekunda_Banjul_Division.html,
Tanji Village Museum,Cultural heritage sites/museums,West Coast Region,3,0,4,9,0,2,,,,,,18,,18,Absent,,,,9/11/2025,"Facebook (official): Tanje Village Museum page (about + posts). 

TripAdvisor: attraction page + traveler photos. 


AccessGambia: background (founded 1997 by Abdoulaye/Bayo). 

Lonely Planet: attraction overview. 

Example tour listing (third-party): “Full Day Excursion to Tanji Museum & Tanji Beach.”",,Has its own Facebook page with limited activity/engagement (hundreds of likes). No active multi-platform presence found.,No official website or maintained landing page. Key info lives on third-party sites.,"Decent but mostly user/third-party photos & clips (TripAdvisor images, travel posts). No curated official gallery.","Easy to find via TripAdvisor, Lonely Planet, and AccessGambia; also appears in tour listings.",No online ticketing or bookings; tours only via third-party operators.,"Present across FB + review/directories, but not cross-linked or actively managed as a system.",,https://www.facebook.com/Tanjevillagemuseum/,,https://www.tripadvisor.com/Attraction_Review-g3675810-d3935590-Reviews-Tanje_Village_Museum-Tanji_West_Coast_Division.html,
