Name of Event,Type,Region,Description,Active?,Include?,Contact Number/Email,Digital Presence (Web/Social),Tripadvisor,Facebook,Instagram,Website,Outreach
Janjanbureh Kankurang Festival,Festival,"Janjanbureh, Central River Region (CRR)","Traditional masquerade festival showcasing the Kankurang (a Mandinka masking tradition). Revived in 2018 after decades, to celebrate a UNESCO-listed heritage. Draws local and international visitors in January.",Active,Yes,,"Facebook pages (Janjanbureh community, NCAC) – posts on festival",,,,,
International Food & Beverage Festival,Festival,Greater Banjul (various venues),"Culinary festival celebrating Gambian and international cuisine. Features food stalls, cooking demos, and entertainment, highlighting local gastronomy’s diversity. Held each February.",Last posted in 2019,Discuss Further,,Facebook page (e.g. “The Gambia Food & Beverage Festival”),,,,,
Open Mic Festival,Festival,Bakau/Serekunda (Independence Stadium),"The Gambia’s biggest music festival, providing a live platform for local artists (hip-hop, afro-pop, etc.). Started as small monthly open-mic shows and grew into a large December concert (“Festival of the People”). Attracts thousands of youth.",Cancelled,Discuss Further,,YouTube videos of performances.,,,,,
Gambia International Bird Festival (Bird Watching Festival),Festival,"Various bird-rich sites (e.g. Baobolong Wetland, Kiang West)","Wildlife festival each October celebrating The Gambia’s rich birdlife. Organizes guided bird-watching tours, photography sessions, and cultural displays for nature tourists.",Last held in October 2016?,Discuss Further,,Featured on tourism websites; promoted by Gambia Tourism Board (press releases).,,,,,
International Boat Fishing Competition,Festival,"Coastal (Kombo waters, e.g. Kartong or coastal fishing clubs)","Deep-sea angling competition held every November, attracting international sport-fishers. Combines fishing with cultural evenings (local music & food) for participants. Part of the tourism events calendar.",Last held in 2018? Is the Gambia Beach Championships different?,Discuss Further,,Covered on tourism/event calendars (e.g. GTBoard site). Some organizers maintain Facebook groups for anglers.,,,,,
Banjul Cultural Festival & Carnival (“Banjul Demba” revival),Festival,Banjul (Capital),"A week-long festival (Christmas to New Year) showcasing Banjul’s diverse cultural heritage. Features traditional masquerade parades (e.g. “Egungun”, “Kankurang”) through the streets, cultural dance competitions, and a carnival. Revives the historic Banjul Demba festival tradition.",Active,Yes,,City of Banjul Facebook page (event announcements); local news coverage.,,,,,
Fulbe Africa International Cultural Festival,Festival,"Kombo (often QCity, Kanifing)","A vibrant festival celebrating Fulani (Fulbe) culture. Brings together Fulani from Gambia, Senegal and beyond, with traditional music, dance, drama, and even Fulani language competitions. Each edition has themes (e.g. food security & culture).",Active,Yes,,Very active on Facebook (Fulbe Africa page ~14k follower. YouTube videos of performances.,,,,,
Sanyang International Cultural Festival,Festival,"Sanyang, West Coast Region (Kombo South)","Community-based festival highlighting the Kombo cultures and traditions. Includes reenactments of life-cycle ceremonies (birth, initiation, marriage, funeral) of various ethnic groups in Kombo. Culminates in a beachfront cultural jamboree with traditional music lasting till dawn.",Active,Yes,,"Facebook (local organizers’ pages, e.g. Sanyang Paradise Beach Association); featured on Visit Gambia events",,,,,
Kartong Festival (Kartong Cultural Festival),Festival,"Kartong, West Coast (border with Senegal)","A weekend festival uniting communities of Kartong (Gambia) and adjacent Casamance (Senegal). Showcases traditional music, drumming, and dances of Jola and other groups on both sides of the border. Visitors can join drumming workshops and dance classes during the festival.",Active,Yes,,Announced on tourism platforms (GTBoard event listings); local FB event pages in Kartong. https://www.facebook.com/KartongFestival/,,,,,
Sukuta Dembadu Carnival & Festival,Festival,"Sukuta, West Coast Region (Kombo)","A newer festival (launched 2025) celebrating Kombo history. Sukuta (one of the oldest Kombo settlements) showcases its heritage through masquerades, music, and carnival floats. Emphasizes Kombo’s intangible cultural heritage and historical role (e.g. Sukuta Sabiji’s link to Banjul’s founding).",Active,Yes,,Local Facebook events (Sukuta community pages); covered by GTBoard events. https://www.facebook.com/events/d41d8cd9/sukuta-dembadou-annual-carnival-cultural-festival/,,,,,
