Operator Name,Country / Region,Website URL,Gambia Page URL,Gambia Tour Pages,Visibility & Navigation,Product Type,Itinerary Depth - % Gambia,Itinerary Depth - Detail Level,Sun & Beach,Nature & Wildlife,Adventure,Culture & Heritage,Festivals & Cultural Events,Audiovisual (Film/Photo/TV/Video),Marketing/Advertising/Publishing,Crafts & Artisan Products,Fashion & Design,Music,Performing & Visual Arts,Heritage Sites & Museums,Positioning & Target Audience,Booking Pathway,Media Quality,Media - UGC/Testimonials,Media - TripAdvisor Integration,Price Transparency,Language Availability,Local Partnerships,Seasonality Framing,Last Scraped,Scrape Status
African Travel Seminars,,,https://www.africantravelseminars.com/senegal,,Unknown,Flight+Hotel,50%,Summary only,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 08:54:25,Success
Apollo,,,https://www.apollo.se/gambia,,Unknown,Flight+Hotel,93%,Summary only,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 08:54:25,Success
Birding Ecotours,,,https://www.birdingecotours.com/destination/gambia-birding-tours/,,Unknown,Flight+Hotel,82%,Summary only,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,,Enquiry-only,Unknown,Yes,No,Unknown,fr,"senegambia beach hotel, gambia bird",,2025-09-30 08:54:25,Success
Corendon,,,https://www.corendon.nl/gambia,,Unknown,Flight+Hotel,93%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,nl,"james island, albert market, serrekunda market",,2025-09-30 08:54:25,Success
Explore,,,https://www.explore.co.uk/destinations/africa/the-gambia,,Unknown,Tailor-made,85%,Summary only,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,From pricing,en,gambia tours,,2025-09-30 08:54:25,Success
First Choice,,,https://www.firstchoice.co.uk/holiday/location/overview/Gambia-GMB,,Unknown,Itinerary,75%,Summary only,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,"en, es","coco ocean, kombo beach hotel, ocean bay hotel, abuko nature reserve, kiang west national park","winter_sun, rainy_season, christmas_new_year",2025-09-30 08:54:25,Success
Fleewinter,,,https://www.fleewinter.com/the-gambia-holidays/gambia-senegal-wildlife-tour/,,Unknown,Itinerary,62%,Day-by-day,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Enquiry-only,Unknown,No,No,From pricing,en,"coco ocean, ngala lodge, mandina lodges, ocean bay hotel, leo's beach hotel, abuko nature reserve, makasutu, tanji bird reserve, fathala wildlife reserve, gambia horse and donkey trust",winter_sun,2025-09-30 08:54:25,Success
Hays Travel,,,https://www.haystravel.co.uk/destinations/africa/gambia/,,Unknown,Flight+Hotel,96%,Multi-day overview,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,it,"abuko nature reserve, wassu stone circles, kunta kinteh island, arch 22, national museum, gambia national museum, albert market, fort bullen","year_round, dry_season, rainy_season",2025-09-30 08:54:25,Success
Holiday Hypermarket,,,https://www.holidayhypermarket.co.uk/destinations/gambia,,Unknown,Flight+Hotel,96%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,Clear packages,"en, fr","abuko nature reserve, kachikally crocodile pool, bijilo forest park, bijilo forest, arch 22, albert market, kololi beach, kotu beach","dry_season, rainy_season",2025-09-30 08:54:25,Success
Intrepid Travel UK,,,https://www.intrepidtravel.com/uk/gambia,,Unknown,Tailor-made,92%,Multi-day overview,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,Enquiry-only,Unknown,No,No,From pricing,en,gambia tours,"year_round, dry_season",2025-09-30 08:54:25,Success
