stakeholder_name,total_reviews,average_rating,overall_sentiment,positive_rate,language_diversity,analysis_date,service_quality_score,service_quality_mentions,educational_value_score,educational_value_mentions,value_pricing_score,value_pricing_mentions,artistic_creative_quality_score,artistic_creative_quality_mentions,authenticity_culture_score,authenticity_culture_mentions,infrastructure_score,infrastructure_mentions,ferry_service_score,ferry_service_mentions,english_reviews,dutch_reviews,german_reviews,spanish_reviews,french_reviews,critical_areas_count,management_response_rate,top_strength,top_weakness
abuko_nature_reserve,185,3.2,0.348,71.3,1,2025-09-15,0.62,23,1.0,1,0.02,21,0.92,35,0.92,35,-0.12,4,0.6,5,185,0,0,0,0,3,0.0,historical_significance,accessibility_comfort
wassu_stone_circles,13,4.3,0.646,100.0,1,2025-09-15,0.29,2,0,0,0,0,1.0,1,1.0,1,0,0,0,0,13,0,0,0,0,0,0.0,cultural_value,None
banjul_craft_market,267,3.8,0.765,92.7,1,2025-09-15,0.66,25,0,0,0.43,21,0.92,94,0.92,94,0,0,0.33,1,267,0,0,0,0,0,0.0,cultural_value,None
brikama_woodcarvers_market,20,4.4,0.508,81.2,1,2025-09-15,0.78,3,0,0,0.1,5,0.96,5,0.96,5,0,0,0.5,1,20,0,0,0,0,1,0.0,safety_security,accessibility_comfort
tanji_village_market,54,4.3,0.883,100.0,1,2025-09-15,0.93,7,0.75,2,0.71,4,0.92,24,0.92,24,0,0,0.5,2,54,0,0,0,0,0,0.0,accessibility_comfort,None
kachikally_crocodile_pool,300,4.1,0.705,89.0,1,2025-09-15,0.78,26,0.92,6,0.47,33,0.89,71,0.89,71,0,0,0.33,3,300,0,0,0,0,0,0.33333333333333337,historical_significance,None
national_museum_gambia,26,3.7,0.727,90.9,1,2025-09-15,0.83,3,0.5,1,0,0,1.0,3,1.0,3,1.0,2,0,0,26,0,0,0,0,1,3.8461538461538463,cultural_value,safety_security
arch_22_museum,155,3.2,0.528,77.8,1,2025-09-15,0.75,4,1.0,2,0.2,15,0.97,19,0.97,19,-0.14,7,1.0,1,155,0,0,0,0,1,0.6451612903225806,historical_significance,infrastructure_state
fort_bullen_barra_museum,11,4.4,0.839,100.0,1,2025-09-15,0.83,6,0.75,3,0,0,0.75,2,0.75,2,0,0,0,0,11,0,0,0,0,0,0.0,accessibility_comfort,None
bakau_craft_market,47,4.2,0.839,93.5,1,2025-09-15,0.93,7,0,0,0.43,7,0.97,15,0.97,15,0,0,0,0,47,0,0,0,0,0,0.0,accessibility_comfort,None
senegambia_craft_market,214,3.5,0.733,88.5,1,2025-09-15,0.93,22,0.22,2,0.22,22,0.96,46,0.96,46,0,0,1.0,4,214,0,0,0,0,0,0.46728971962616817,ferry_service,None
kunta_kinteh_island,24,4.2,0.588,81.5,1,2025-09-15,0.6,6,0.78,3,1.0,2,0.77,9,0.77,9,-0.75,2,0.19,3,24,0,0,0,0,1,0.0,accessibility_comfort,infrastructure_state
