stakeholder_name,total_reviews,average_rating,overall_sentiment,positive_rate,language_diversity,analysis_date,service_quality_score,service_quality_mentions,educational_value_score,educational_value_mentions,value_pricing_score,value_pricing_mentions,artistic_creative_quality_score,artistic_creative_quality_mentions,authenticity_culture_score,authenticity_culture_mentions,infrastructure_score,infrastructure_mentions,ferry_service_score,ferry_service_mentions,english_reviews,dutch_reviews,german_reviews,spanish_reviews,french_reviews,critical_areas_count,management_response_rate,top_strength,top_weakness
abuko_nature_reserve,185,3.2,0.348,71.3,1,2025-09-22,0.62,23,1.0,1,0.02,21,0.92,35,0.92,35,-0.12,4,0.6,5,185,0,0,0,0,3,0.0,historical_significance,accessibility_comfort
wassu_stone_circles,13,4.3,0.646,100.0,1,2025-09-22,0.29,2,0,0,0,0,1.0,1,1.0,1,0,0,0,0,13,0,0,0,0,0,0.0,cultural_value,None
banjul_craft_market,267,3.8,0.765,92.7,1,2025-09-22,0.66,25,0,0,0.43,21,0.92,94,0.92,94,0,0,0.33,1,267,0,0,0,0,0,0.0,cultural_value,None
timo_tours_gambia,12,4.4,0.601,73.3,1,2025-09-22,0.4,6,0,0,0.5,4,0.9,4,0.9,4,0,0,0,0,12,0,0,0,0,0,0.0,safety_security,None
simon_tours,108,4.8,0.639,88.5,1,2025-09-22,0.45,44,1.0,2,0.35,17,0.89,43,0.89,43,0,0,0.67,8,108,0,0,0,0,0,3.7037037037037033,historical_significance,None
janeya_tours,73,4.8,0.588,87.2,1,2025-09-22,0.41,42,1.0,1,0.78,6,0.84,28,0.84,28,0,0,0.33,9,73,0,0,0,0,0,1.36986301369863,historical_significance,None
bushwhacker_tours,170,4.9,0.622,90.7,1,2025-09-22,0.49,87,1.0,3,0.48,32,0.81,52,0.81,52,1.0,1,0.6,31,170,0,0,0,0,0,2.941176470588235,historical_significance,None
brikama_woodcarvers_market,20,4.4,0.508,81.2,1,2025-09-22,0.78,3,0,0,0.1,5,0.96,5,0.96,5,0,0,0.5,1,20,0,0,0,0,1,0.0,safety_security,accessibility_comfort
tanji_village_market,54,4.3,0.883,100.0,1,2025-09-22,0.93,7,0.75,2,0.71,4,0.92,24,0.92,24,0,0,0.5,2,54,0,0,0,0,0,0.0,accessibility_comfort,None
kawsu_tours,18,4.8,0.812,100.0,1,2025-09-22,0.56,6,0,0,1.0,4,0.88,8,0.88,8,0,0,0.78,3,18,0,0,0,0,0,0.0,value_pricing,None
